CR #,Title,Year
CR #13933,Title          January 2025 Update of the Ambulatory Surgical Center [ASC] Payment System,Year          2025
CR #13993,Title          April 2025 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2025
CR #13481,Title          January 2024 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2024
CR #13656,Title          July 2024 Update of the Ambulatory Surgical Center [ASC] Payment System - Updated 08/02/2024,Year          2024
CR #13800,Title          October 2024 Update of the Ambulatory Surgical Center [ASC] Payment System,Year          2024
CR #13577,Title          April 2024 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2024
CR #13041,Title          January 2023 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2023
CR #13353,Title          October 2023 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2023
CR #13143,Title          April 2023 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2023
CR #12553,Title          January 2022 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2022
CR #12773,Title          July 2022 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2022
CR #12679,Title          April 2022 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2022
CR #12915,Title          October 2022 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2022
CR #12129,Title          January 2021 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2021
CR #12341,Title          July 2021 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2021
CR #12183,Title          April 2021 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2021
CR #12451,Title          October 2021 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2021
CR #11607,Title          January 2020 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2020
CR #11842,Title          July 2020 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2020
CR #11963,Title          October 2020 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2020
CR #13216,Title          July 2023 Update of the Ambulatory Surgical Center [ASC] Payment System,Year          2023
CR #11694,Title          April 2020 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2020
CR #11232,Title          April 2019 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2019
CR #11108,Title          January 2019 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2019
CR #11457,Title          October 2019 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2019
CR #10932,Title          October 2018 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2018
CR #10441,Title          January 2018 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2018
CR #9998,Title          April 2017 Update of the Ambulatory Surgical Center (ASC) Payment System Updated: 3/22/2017,Year          2017
CR #10259,Title          October 2017 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2017
CR #9923,Title          January 2017 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2017
CR #10138,Title          July 2017 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2017
CR #9773,Title          October 2016 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2014
CR #9557,Title          April 2016 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2016
CR #9484,Title          January 2016 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2016
CR #9668,Title          July 2016 Update of the Ambulatory Surgical Center(ASC) Payment System,Year          2016
CR #9021,Title          January 2015 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2015
CR #9310,Title          October 2015 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2015
CR #9100,Title          April 2015 Update of the Ambulatory Surgical Center (ASC) Payment System,Year          2015
